IMIS_DasID,aphia_id
6451,129240
6451,129346
6451,130577
6451,103066
6451,468026
6451,336485
6451,131290
6451,130294
6451,129876
6451,131107
6451,111061
6451,157828
6451,131187
6451,1297885
6451,117195
6451,106215
6451,111745
6451,845529
6451,106925
6451,117702
6451,152269
6451,130268
6451,111250
6451,137739
6451,101466
6451,130500
6451,117015
6451,130185
6451,209899
6451,117233
6451,111196
6451,424440
6451,130921
6451,141707
6451,107552
6451,124392
6451,102915
6451,107054
6451,124913
6451,137954
6451,132026
6451,129851
6451,876825
6451,129957
6451,103044
6451,118467
6451,129430
6451,140737
6451,883
6451,111202
6451,103439
6451,411874
6451,136486
6451,129433
6451,130644
6451,131534
6451,130641
6451,130037
6451,130352
6451,111597
6451,130140
6451,130564
6451,129359
6451,152250
6451,110627
6451,130355
6451,130770
6451,130982
6451,131171
6451,107218
6451,140033
6451,140640
6451,107301
6451,129671
6451,111125
6451,102057
6451,938
6451,126754
6451,129777
6451,139410
6451,1606
6451,106257
6451,793
6451,141929
6451,130130
6451,560033
6451,571832
6451,2104
6451,152314
6451,847930
6451,131544
6451,129944
6451,138992
6451,124273
6451,111186
6451,334506
6451,140589
6451,131415
6451,124929
6451,129211
6451,102012
6451,138288
6451,130599
6451,102928
6451,107150
6451,745846
6451,152391
6451,138388
6451,140300
6451,146469
6451,111604
6451,117940
6451,130673
6451,130696
6451,101977
6451,131489
6451,131174
6451,125080
6451,140480
6451,107722
6451,138751
6451,111054
6451,138748
6451,106122
6451,179538
6451,138963
6451,129491
6451,130198
6451,129680
6451,118917
6451,130278
6451,147006
6451,131168
6451,117368
6451,125131
6451,141662
6451,101871
6575,22832
6575,126484
7890,494069
7890,115088
7890,248069
7890,235961
7890,156505
7890,232546
7890,157463
7890,235923
7890,109889
7890,109921
7890,232703
7890,109603
7890,148967
7890,841260
7890,149629
7890,708245
7890,764850
7890,236058
7890,149208
7890,149314
7890,567049
7890,376361
7890,842517
7890,109526
7890,149028
7890,163249
7890,235846
7890,235926
7890,149131
7890,149022
7890,596169
7890,109475
7890,149134
7890,109555
7890,109507
7890,1381154
7890,149060
7890,118051
7890,418646
7890,555889
7890,110082
7890,178598
7890,109693
7890,837460
7890,149092
7890,110297
7890,841193
7890,115075
7890,149619
7890,149221
7890,149118
7890,149616
7890,967041
7890,840627
7890,109571
7890,109542
7890,163262
7890,109992
7890,603344
7890,149150
7890,156598
7890,156621
7890,115104
7890,149356
7890,149044
7890,160554
7890,163233
7890,109462
7890,149038
7890,573880
7890,149015
7890,235839
7890,109545
7890,109463
7890,149191
7890,109569
7890,626382
7890,160563
7890,110015
7890,164053
7890,148899
7890,149111
7890,196828
7890,109466
7890,148905
7890,110202
7890,248089
7890,562641
7890,292726
7890,110099
7890,837451
7890,160595
7890,624358
7890,248063
7890,149310
7890,149230
7890,149516
7890,109662
7890,148912
7890,841248
7890,841746
7890,149018
7890,109559
7890,110295
7890,149313
7890,573858
7890,837075
7890,232376
7890,149130
7890,134526
7890,573543
7890,236100
7890,149342
7890,149236
7890,110115
7890,163248
7890,134529
7890,17329
7890,376667
7890,157240
7890,110041
7890,235859
7890,375970
7890,149387
7890,149069
7890,231788
7890,109527
7890,163161
7890,148989
7890,148963
7890,109713
7890,841261
7890,110208
7890,494057
7890,232598
7890,156617
7890,115057
7890,149538
7890,232492
7890,146232
7890,156623
7890,160553
7890,115086
7890,149292
7890,157258
7890,602985
7890,248081
7890,345513
7890,157052
7890,109564
7890,248058
7890,17639
7890,110039
7890,149186
7890,109856
7890,109458
7890,149132
7890,149003
7890,115126
7890,149055
7890,179786
7890,157081
7890,109487
7890,232625
7890,615435
7890,5
7890,115081
7890,146542
7890,232516
7890,235851
7890,162254
7890,233592
7890,163250
7890,465390
7890,235842
7890,146230
7890,157431
7890,149167
7890,109519
7890,110303
7890,149241
7890,149135
7890,110097
7890,109474
7890,149122
7890,375788
7890,248074
7890,341500
7890,841263
7890,149116
7890,235848
7890,837453
7890,157059
7890,134566
7890,599640
7890,115084
7890,149042
7890,837459
7890,172460
7890,109612
7890,235829
7890,149151
7890,163137
7890,149013
7890,110316
7890,148942
7890,149148
7890,802
7890,149045
7890,148971
7890,1474876
7890,149177
7890,146163
7890,248129
7890,109718
7890,109638
7890,109528
7890,110321
7890,109717
7890,699623
7890,656612
7890,149142
7890,110035
7890,837227
7890,232110
7890,149139
7890,235966
7890,149200
7890,19542
7890,110305
7890,136903
7890,109515
7890,178185
7890,163257
7890,233868
7890,553584
7890,148985
7890,582177
7890,149168
7890,233161
7890,109566
7890,1310442
7890,235934
7890,115090
7890,246608
7890,149213
7890,109508
7890,25
7890,149322
7890,235828
7890,162518
7890,149110
7890,345491
7890,235802
7890,233180
7890,149004
7890,119077
7890,160594
7890,109920
7890,249725
7890,178201
7890,232261
7890,109470
7890,235979
7890,248096
7890,109473
7890,495363
7890,418509
7890,841259
7890,110257
7890,248064
7890,109476
7890,110154
7890,162740
7890,109550
7890,149129
7890,840626
7890,110045
7890,149123
7890,109553
7890,109859
7890,115083
7890,163344
7890,235841
7890,149023
7890,157072
7890,109624
7890,110122
7890,109627
7890,149120
7890,235924
7890,149335
7890,235944
7890,149126
7890,149309
7890,148917
7890,149647
7971,137111
7972,135263
7972,137217
7972,135279
7972,135305
7972,106401
7972,135304
7972,135297
7972,106398
7972,135299
