IMIS_DasID,aphia_id
1,1348433
1,372509
1,144442
1,526636
1,356219
1,471869
1,1640022
1,326332
1,141247
1,140103
1,876825
1,142799
1,148164
1,157411
1,118732
1,144501
1,988370
1,145777
1,277448
1,291064
1,619801
1,166430
1,382984
1,380904
1,1416216
1,145267
1,282654
1,616488
1,879238
1,122644
1,145331
1,132558
1,164060
1,348696
1,515727
1,131409
1,386092
1,1720925
1,145560
1,1294676
1,498323
1,214217
1,1371601
1,374005
1,283497
1,1586725
1,500907
1,852999
1,135466
1,148996
1,376886
1,145892
1,375784
1,165472
1,141341
1,518794
1,157533
1,614444
1,214231
1,245096
1,215442
1,1463764
1,131489
1,164103
1,172204
1,233610
1,826906
1,117999
1,373472
1,131106
1,341585
1,144438
1,212187
1,372792
1,238917
1,140405
1,832421
1,168733
1,932306
1,102046
1,130031
1,130670
1,834039
1,103702
1,569936
1,1457087
1,295866
1,372938
1,472197
1,134121
1,111250
1,122764
1,481044
1,613762
1,102119
1,141767
1,387924
1,355457
1,371903
1,139563
1,376045
1,368198
1,22953
1,149093
1,1720917
1,1535580
1,503901
1,107518
1,125064
1,145502
1,338929
1,433208
1,117388
1,426469
1,847083
1,213889
1,145367
1,129745
1,255167
1,141744
1,144929
1,146905
1,437835
1,172180
1,712688
1,111147
1,132539
1,506156
1,169725
1,250468
1,220879
1,878919
1,845870
1,700795
1,148028
1,131128
1,116216
1,141700
1,115889
1,621371
1,1356824
1,1324136
1,150225
1,285078
1,216087
1,1338684
1,170520
1,1314300
1,1026324
1,1415544
1,1314298
1,359278
1,143034
1,1356370
1,621957
1,375686
1,1312237
1,241273
1,1506306
1,1457131
1,573956
1,141239
1,130769
1,130185
1,130746
1,115005
1,156948
1,141412
1,1258721
1,242145
1,145008
1,526724
1,443266
1,145203
1,372360
1,495967
1,211452
1,103579
1,1731787
1,879218
1,371574
1,145234
1,1534768
1,103909
1,166302
1,250599
1,103870
1,1008208
1,141741
1,130008
1,156083
1,326577
1,1381308
1,336908
1,130799
1,399188
1,344037
1,125080
1,125073
1,126689
1,132635
1,166626
1,130907
1,1370544
1,1445642
1,238198
1,288125
1,130554
1,1010196
1,231823
1,514464
1,378492
1,117367
1,380040
1,945985
1,327421
1,885596
1,130891
1,334565
1,130282
1,1485914
1,1008352
1,178590
1,1041687
1,330867
1,129876
1,623875
1,254726
1,424332
1,192073
1,1025383
1,168716
1,131361
1,483508
1,354783
1,1023906
